index,model_id,fine_grained_class,coarse_grained_class,empty_struct_obj,nyuv2_40class,wnsynsetid,wnsynsetkey,grains_class
0,Empty,empty,empty,0,void,n03284308,empty.n.01,empty
1,Wall,wall,wall,1,wall,n04546855,wall.n.01,wall
2,Ceiling,ceiling,ceiling,1,ceiling,n02990373,ceiling.n.01,ceiling
3,Floor,floor,floor,1,floor,n03365592,floor.n.01,floor
4,Box,unknown,unknown,2,void,n08632096,unknown.n.01,unknown
5,100,hanger,hanger,2,cabinet,n03490884,hanger.n.02,hanger
6,101,kitchen_cabinet,kitchen_cabinet,2,counter,n02933112,cabinet.n.01,kitchen_cabinet
7,102,refrigerator,kitchen_appliance,2,refridgerator,n04070727,refrigerator.n.01,kitchen_appliance
8,104,desk,desk,2,desk,n03179701,desk.n.01,desk
9,105,desk,desk,2,desk,n03179701,desk.n.01,desk
10,106,office_chair,chair,2,chair,n04373704,swivel_chair.n.01,chair
11,107,desk,desk,2,desk,n03179701,desk.n.01,desk
12,108,desk,desk,2,desk,n03179701,desk.n.01,desk
13,109,coffee_table,table,2,table,n03063968,coffee_table.n.01,table
14,110,television,television,2,television,n04405907,television_receiver.n.01,television
15,111,television,television,2,television,n04405907,television_receiver.n.01,television
16,112,television,television,2,television,n04405907,television_receiver.n.01,television
17,113,television,television,2,television,n04405907,television_receiver.n.01,television
18,114,television,television,2,television,n04405907,television_receiver.n.01,television
19,115,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01,tv_stand
20,116,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01,tv_stand
21,117,tv_stand,tv_stand,2,cabinet,n03290653,entertainment_center.n.01,tv_stand
22,118,hanger,hanger,2,cabinet,n03490884,hanger.n.02,hanger
23,119,coffee_table,table,2,table,n03063968,coffee_table.n.01,table
24,120,laptop,computer,2,television,n03642806,laptop.n.01,laptop
25,121,wardrobe_cabinet,wardrobe_cabinet,2,cabinet,n02933112,cabinet.n.01,wardrobe_cabinet
